what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1319072452569
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1319072452882
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1319072453063
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1319072453101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319072453208
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072453723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072460378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319072461327
executed,command,,,"org.eclipse.m2e.core.pomFileActionWithDialog.run",1319072463579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072463601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072478737
executed,command,,,"org.eclipse.m2e.core.pomFileActionWithDialog.run",1319072482766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072482789
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1319072492698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319072501127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072530872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072548866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072549650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072554909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319072555656
executed,command,,,"org.eclipse.m2e.core.pomFileActionWithDialog.run",1319072557763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072557784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1319072583143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072594878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319072596602
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.core.pomFileAction.run",1319072598510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072598531
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1319072629061
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1319072670602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072676775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072679042
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072680205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072694077
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.core.pomFileAction.run",1319072701426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072701491
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.core.pomFileAction.run",1319072706121
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1319072713899
activated,view,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.views.MavenRepositoryView",1319072730273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072769616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072771774
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072783438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072795230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072803383
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1319072849632
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072881411
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072881490
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072881526
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072887224
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072887311
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072887332
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072889868
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072889932
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072889953
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072892612
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072892679
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319072892699
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1319072909642
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1319072909667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072910452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072912012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072912204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072915714
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1319072926835
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072949184
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1319072954089
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1319072954131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1319072954132
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1319072960036
closed,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1319072960041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072972269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319072993650
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1319072993663
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1319072993693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1319072993694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1319072993694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319073003270
